Subject,Institution,Course Name,Course Url,Duration,Provider
Humanities Courses,Leiden University,Miracles of Human Language: An Introduction to Linguistics,https://classcentral.com/course/humanlanguage-2940,"4-6 hours a week,6 weeks long",Coursera
Humanities Courses,University of Adelaide,Shakespeare Matters,https://classcentral.com/course/edx-shakespeare-matters-8731,"3-5 hours a week,5 weeks long",edX
Humanities Courses,Hong Kong Polytechnic University,Success: Practical Thinking Skills,https://classcentral.com/course/edx-success-practical-thinking-skills-8617,"4-6 hours a week,4 weeks long",edX
Humanities Courses,Yale University,Moralities of Everyday Life,https://classcentral.com/course/moralities-911,"6-14 hours a week,6 weeks long",Coursera
Social Sciences Courses,Princeton University,HOPE: Human Odyssey to Political Existentialism,https://classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584,"3-5 hours a week,10 weeks long",edX
Social Sciences Courses,The University of Sheffield,Supporting Victims of Domestic Violence,https://classcentral.com/course/domestic-violence-15221,"3 hours a week,3 weeks long",FutureLearn
Mathematics Courses,Stanford University,Introduction to Mathematical Thinking,https://classcentral.com/course/maththink-370,"8-10 hours a week,9 weeks long",Coursera
Mathematics Courses,Stanford University,Intro to Statistics,https://classcentral.com/course/udacity-intro-to-statistics-361,8 weeks long,Udacity
Mathematics Courses,University of Padova,"Precalculus: the Mathematics of Numbers, Functions and Equations",https://classcentral.com/course/precalculus-8988,"6 hours a week,5 weeks long",FutureLearn
Business Courses,Technische Universität München (Technical University of Munich),Six Sigma: Define and Measure,https://classcentral.com/course/edx-six-sigma-define-and-measure-8450,"3-4 hours a week,8 weeks long",edX
Computer Science Courses,Hebrew University of Jerusalem,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://classcentral.com/course/build-a-computer-3234,"5-10 hours a week,6 weeks long",Coursera
Computer Science Courses,University of Alberta,Fundamentals of Reinforcement Learning,https://classcentral.com/course/fundamentals-of-reinforcement-learning-14497,"15 hours worth of material,4 weeks long",Coursera
Humanities Courses,University of Urbino,Umano Digitale,https://classcentral.com/course/independent-umano-digitale-13499,20 hours worth of material,Independent
